Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,2923570.5965399087,2043510.819381642,12879947.864378954,12879947.864378954,9571966.604143126 
 01/01  02:00:00,2923570.5965399087,2043510.819381642,14232677.320929449,14232677.320929449,11254855.242321048 
 01/01  03:00:00,2923570.5965399087,2043510.819381642,13404773.339927869,13404773.339927869,9443419.568528235 
 01/01  04:00:00,2923570.5965399087,2043510.819381642,14232677.320929449,14232677.320929449,11088914.078353469 
 01/01  05:00:00,2923570.5965399087,2043510.819381642,12819001.356086625,12819001.356086625,12758970.127791625 
 01/01  06:00:00,2923570.5965399087,2043510.819381642,13956709.327262257,13956709.327262257,12603438.434736092 
 01/01  07:00:00,2923570.5965399087,2043510.819381642,13958819.049199943,13958819.049199943,13716514.57076606 
 01/01  08:00:00,2923570.5965399087,2043510.819381642,15069433.327262257,15069433.327262257,14146417.51977685 
 01/01  09:00:00,2758373.5107339096,2043510.819381642,10466520.306159333,10466520.30615933,11155996.393854784 
 01/01  10:00:00,2557556.2895339366,2043510.819381642,9749632.127615657,9749632.127615657,8734076.166155365 
 01/01  11:00:00,2551264.1469644389,2043510.819381642,8854472.982795723,8854472.982795723,6578767.623924665 
 01/01  12:00:00,2533972.545035651,2043510.819381642,9247030.106932752,9247030.106932752,5815622.379637354 
 01/01  13:00:00,2548107.777381593,2043510.819381642,9477347.742856503,9477347.742856503,5900449.08809643 
 01/01  14:00:00,2537165.268468706,2043510.819381642,9920819.213119412,9920819.213119412,4218787.511172733 
 01/01  15:00:00,2554733.125977514,2043510.819381642,8868517.5420878,8868517.5420878,4275262.4157118429 
 01/01  16:00:00,2618961.549006528,2043510.819381642,8939155.150599065,8939155.150599065,4191713.276871655 
 01/01  17:00:00,2893633.7331251709,2043510.819381642,11487637.358230599,11487637.358230599,4969411.29416802 
 01/01  18:00:00,2923570.5965399087,2043510.819381642,13249523.769451134,13249523.76945113,4624182.148139864 
 01/01  19:00:00,2923570.5965399087,2043510.819381642,13002613.590574768,13002613.590574768,4806583.517910878 
 01/01  20:00:00,2923570.5965399087,2043510.819381642,13607607.230695649,13607607.230695649,6352448.134968794 
 01/01  21:00:00,2923570.5965399087,2043510.819381642,13238933.627028298,13238933.627028294,7180468.680575815 
 01/01  22:00:00,2923570.5965399087,2043510.819381642,13516084.4191705,13516084.4191705,7843612.185074938 
 01/01  23:00:00,2923570.5965399087,2043510.819381642,14006424.235420686,14006424.235420686,9478522.404518465 
 01/01  24:00:00,2923570.5965399087,2043510.819381642,14260909.728915742,14260909.728915738,8920648.014217064 
 01/02  01:00:00,2923570.5965399087,5108777.048454104,15822190.316074787,15822190.316074785,6708397.078914403 
 01/02  02:00:00,2923570.5965399087,5108777.048454104,16173760.425930253,16173760.425930247,5993674.221757696 
 01/02  03:00:00,2923570.5965399087,5108777.048454104,15854352.19923647,15854352.199236472,6038873.610169796 
 01/02  04:00:00,2923570.5965399087,5108777.048454104,16560091.5984738,16560091.598473799,6972895.992633065 
