Time,CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.015938E+03,2.396573E+03,5.274216E-02,2.117591E-01,3.120188E+03,1.807796E+03,1.619687E-01,1.597427E-01,1.903051E+03,1.093422E+03,9.878641E-02,9.661858E-02,3.074292E+03,1.785725E+03,1.595863E-01,1.577926E-01,1.919474E+03,1.204577E+03,9.963887E-02,1.064401E-01
00:20:00,1.015940E+03,2.390622E+03,5.274227E-02,2.112333E-01,3.120194E+03,1.794670E+03,1.619690E-01,1.585830E-01,1.903056E+03,1.084927E+03,9.878662E-02,9.586794E-02,3.074299E+03,1.772710E+03,1.595866E-01,1.566425E-01,1.919478E+03,1.191598E+03,9.963908E-02,1.052933E-01
00:30:00,1.015942E+03,2.384873E+03,5.274237E-02,2.107254E-01,3.120200E+03,1.781918E+03,1.619693E-01,1.574562E-01,1.903060E+03,1.076674E+03,9.878682E-02,9.513872E-02,3.074304E+03,1.760104E+03,1.595869E-01,1.555287E-01,1.919482E+03,1.179150E+03,9.963929E-02,1.041934E-01
00:40:00,1.015944E+03,2.379311E+03,5.274247E-02,2.102340E-01,3.120205E+03,1.769522E+03,1.619696E-01,1.563609E-01,1.903063E+03,1.068653E+03,9.878702E-02,9.442996E-02,3.074310E+03,1.747886E+03,1.595872E-01,1.544491E-01,1.919485E+03,1.167197E+03,9.963948E-02,1.031373E-01
00:50:00,1.015946E+03,2.373921E+03,5.274256E-02,2.097577E-01,3.120210E+03,1.757467E+03,1.619699E-01,1.552957E-01,1.903067E+03,1.060853E+03,9.878720E-02,9.374080E-02,3.074315E+03,1.736034E+03,1.595875E-01,1.534019E-01,1.919489E+03,1.155705E+03,9.963967E-02,1.021218E-01
01:00:00,1.015947E+03,2.368690E+03,5.274265E-02,2.092956E-01,3.120215E+03,1.745739E+03,1.619701E-01,1.542594E-01,1.903070E+03,1.053267E+03,9.878738E-02,9.307047E-02,3.074320E+03,1.724533E+03,1.595877E-01,1.523856E-01,1.919492E+03,1.144642E+03,9.963984E-02,1.011443E-01
01:10:00,1.015949E+03,2.363608E+03,5.274273E-02,2.088466E-01,3.120220E+03,1.734409E+03,1.619704E-01,1.532583E-01,1.903073E+03,1.045937E+03,9.878755E-02,9.242277E-02,3.074325E+03,1.713447E+03,1.595880E-01,1.514061E-01,1.919496E+03,1.134035E+03,9.964001E-02,1.002070E-01
01:20:00,1.015951E+03,2.358666E+03,5.274281E-02,2.084099E-01,3.120225E+03,1.723468E+03,1.619706E-01,1.522916E-01,1.903077E+03,1.038856E+03,9.878771E-02,9.179714E-02,3.074330E+03,1.702764E+03,1.595882E-01,1.504621E-01,1.919499E+03,1.123859E+03,9.964017E-02,9.930788E-02
01:30:00,1.015952E+03,2.353855E+03,5.274289E-02,2.079849E-01,3.120229E+03,1.712910E+03,1.619709E-01,1.513586E-01,1.903080E+03,1.032021E+03,9.878787E-02,9.119315E-02,3.074334E+03,1.692475E+03,1.595884E-01,1.495530E-01,1.919502E+03,1.114094E+03,9.964033E-02,9.844508E-02
01:40:00,1.015953E+03,2.349172E+03,5.274296E-02,2.075710E-01,3.120234E+03,1.702727E+03,1.619711E-01,1.504589E-01,1.903082E+03,1.025426E+03,9.878802E-02,9.061046E-02,3.074338E+03,1.682572E+03,1.595887E-01,1.486779E-01,1.919505E+03,1.104724E+03,9.964048E-02,9.761710E-02
01:50:00,1.015955E+03,2.344609E+03,5.274303E-02,2.071679E-01,3.120238E+03,1.692916E+03,1.619713E-01,1.495920E-01,1.903085E+03,1.019070E+03,9.878816E-02,9.004879E-02,3.074342E+03,1.673047E+03,1.595889E-01,1.478363E-01,1.919507E+03,1.095732E+03,9.964062E-02,9.682260E-02
02:00:00,1.015956E+03,2.340163E+03,5.274310E-02,2.067751E-01,3.120242E+03,1.683473E+03,1.619715E-01,1.487576E-01,1.903088E+03,1.012948E+03,9.878830E-02,8.950789E-02,3.074346E+03,1.663896E+03,1.595891E-01,1.470277E-01,1.919510E+03,1.087106E+03,9.964076E-02,9.606041E-02
02:10:00,1.015957E+03,2.335832E+03,5.274317E-02,2.063925E-01,3.120246E+03,1.674313E+03,1.619717E-01,1.479482E-01,1.903091E+03,1.007010E+03,9.878843E-02,8.898318E-02,3.074350E+03,1.655035E+03,1.595893E-01,1.462448E-01,1.919513E+03,1.078784E+03,9.964090E-02,9.532511E-02
02:20:00,1.015959E+03,2.331612E+03,5.274323E-02,2.060196E-01,3.120249E+03,1.665432E+03,1.619719E-01,1.471635E-01,1.903093E+03,1.001252E+03,9.878857E-02,8.847441E-02,3.074354E+03,1.646457E+03,1.595895E-01,1.454868E-01,1.919515E+03,1.070755E+03,9.964103E-02,9.461564E-02
02:30:00,1.015960E+03,2.327499E+03,5.274329E-02,2.056562E-01,3.120253E+03,1.656823E+03,1.619721E-01,1.464028E-01,1.903095E+03,9.956705E+02,9.878869E-02,8.798124E-02,3.074358E+03,1.638155E+03,1.595897E-01,1.447533E-01,1.919518E+03,1.063007E+03,9.964115E-02,9.393101E-02
02:40:00,1.015961E+03,2.323489E+03,5.274335E-02,2.053019E-01,3.120257E+03,1.648481E+03,1.619723E-01,1.456657E-01,1.903098E+03,9.902623E+02,9.878881E-02,8.750337E-02,3.074361E+03,1.630124E+03,1.595898E-01,1.440436E-01,1.919520E+03,1.055529E+03,9.964128E-02,9.327031E-02
02:50:00,1.015962E+03,2.319580E+03,5.274341E-02,2.049565E-01,3.120260E+03,1.640402E+03,1.619725E-01,1.449519E-01,1.903100E+03,9.850239E+02,9.878893E-02,8.704050E-02,3.074365E+03,1.622356E+03,1.595900E-01,1.433573E-01,1.919522E+03,1.048313E+03,9.964139E-02,9.263269E-02
03:00:00,1.015963E+03,2.315768E+03,5.274347E-02,2.046197E-01,3.120263E+03,1.632581E+03,1.619726E-01,1.442608E-01,1.903102E+03,9.799522E+02,9.878905E-02,8.659237E-02,3.074368E+03,1.614847E+03,1.595902E-01,1.426938E-01,1.919524E+03,1.041349E+03,9.964151E-02,9.201738E-02
03:10:00,1.015964E+03,2.312050E+03,5.274352E-02,2.042912E-01,3.120267E+03,1.624928E+03,1.619728E-01,1.435846E-01,1.903104E+03,9.749931E+02,9.878916E-02,8.615418E-02,3.074371E+03,1.607509E+03,1.595904E-01,1.420455E-01,1.919527E+03,1.034578E+03,9.964162E-02,9.141908E-02
03:20:00,1.015965E+03,2.308422E+03,5.274358E-02,2.039707E-01,3.120270E+03,1.617439E+03,1.619730E-01,1.429228E-01,1.903107E+03,9.701432E+02,9.878927E-02,8.572565E-02,3.074374E+03,1.600337E+03,1.595905E-01,1.414117E-01,1.919529E+03,1.027991E+03,9.964173E-02,9.083703E-02
03:30:00,1.015966E+03,2.304882E+03,5.274363E-02,2.036579E-01,3.120273E+03,1.610105E+03,1.619731E-01,1.422749E-01,1.903109E+03,9.653984E+02,9.878937E-02,8.530640E-02,3.074377E+03,1.593322E+03,1.595907E-01,1.407919E-01,1.919531E+03,1.021579E+03,9.964184E-02,9.027048E-02
03:40:00,1.015967E+03,2.301424E+03,5.274368E-02,2.033524E-01,3.120276E+03,1.602922E+03,1.619733E-01,1.416401E-01,1.903111E+03,9.607540E+02,9.878948E-02,8.489602E-02,3.074380E+03,1.586458E+03,1.595908E-01,1.401854E-01,1.919533E+03,1.015334E+03,9.964194E-02,8.971867E-02
03:50:00,1.015968E+03,2.298047E+03,5.274373E-02,2.030540E-01,3.120279E+03,1.595881E+03,1.619734E-01,1.410180E-01,1.903113E+03,9.562060E+02,9.878958E-02,8.449415E-02,3.074383E+03,1.579737E+03,1.595910E-01,1.395916E-01,1.919535E+03,1.009248E+03,9.964204E-02,8.918088E-02
04:00:00,1.015969E+03,2.294745E+03,5.274378E-02,2.027622E-01,3.120281E+03,1.588976E+03,1.619736E-01,1.404079E-01,1.903114E+03,9.517499E+02,9.878967E-02,8.410042E-02,3.074386E+03,1.573153E+03,1.595911E-01,1.390097E-01,1.919536E+03,1.003312E+03,9.964213E-02,8.865642E-02
