Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.422205E-02,2.057064E+03,2.520277E-01,2.704229E+03,3.890320E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.559388E+03,1.901941E-01,2.040347E+03,3.020249E+03,1.378333E-01,6.461481E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.250491E+02,1.147504E-01,1.231849E+03,1.821106E+03,8.506225E-02,3.928783E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.559388E+03,1.886567E-01,2.023183E+03,3.001342E+03,1.290746E-01,6.207200E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.250491E+02,1.271159E-01,1.369908E+03,1.971463E+03,8.423249E-02,3.904694E+03,3.337719E-02,0.000000E+00,0.000000E+00
00:20:00,7.422205E-02,2.065045E+03,2.513544E-01,2.688731E+03,3.874239E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.565438E+03,1.886752E-01,2.017340E+03,2.995480E+03,1.378336E-01,6.461490E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.286378E+02,1.137968E-01,1.217614E+03,1.805750E+03,8.506246E-02,3.928789E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.565438E+03,1.872067E-01,2.000944E+03,2.977431E+03,1.290750E-01,6.207209E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.286378E+02,1.256540E-01,1.349997E+03,1.950121E+03,8.423270E-02,3.904700E+03,3.337719E-02,0.000000E+00,0.000000E+00
00:30:00,7.422205E-02,2.073025E+03,2.507032E-01,2.673480E+03,3.858410E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.571487E+03,1.871984E-01,1.994802E+03,2.971196E+03,1.378339E-01,6.461499E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.322265E+02,1.128694E-01,1.203670E+03,1.790696E+03,8.506265E-02,3.928795E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.571487E+03,1.858018E-01,1.979210E+03,2.954046E+03,1.290753E-01,6.207218E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.322265E+02,1.242503E-01,1.330737E+03,1.929456E+03,8.423290E-02,3.904705E+03,3.337719E-02,0.000000E+00,0.000000E+00
00:40:00,7.422205E-02,2.081005E+03,2.500723E-01,2.658455E+03,3.842815E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.577537E+03,1.857615E-01,1.972710E+03,2.947379E+03,1.378342E-01,6.461507E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.358152E+02,1.119670E-01,1.190006E+03,1.775934E+03,8.506284E-02,3.928800E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.577537E+03,1.844398E-01,1.957953E+03,2.931162E+03,1.290756E-01,6.207227E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.358152E+02,1.229009E-01,1.312082E+03,1.909421E+03,8.423308E-02,3.904711E+03,3.337719E-02,0.000000E+00,0.000000E+00
00:50:00,7.422205E-02,2.088986E+03,2.494601E-01,2.643640E+03,3.827436E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.583587E+03,1.843631E-01,1.951048E+03,2.924013E+03,1.378344E-01,6.461514E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.394039E+02,1.110886E-01,1.176611E+03,1.761455E+03,8.506301E-02,3.928805E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.583587E+03,1.831183E-01,1.937149E+03,2.908757E+03,1.290758E-01,6.207234E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.394039E+02,1.216020E-01,1.293992E+03,1.889977E+03,8.423326E-02,3.904716E+03,3.337719E-02,0.000000E+00,0.000000E+00
01:00:00,7.422205E-02,2.096966E+03,2.488655E-01,2.629020E+03,3.812255E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.589636E+03,1.830016E-01,1.929797E+03,2.901085E+03,1.378347E-01,6.461521E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.429926E+02,1.102333E-01,1.163474E+03,1.747251E+03,8.506317E-02,3.928810E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.589636E+03,1.818353E-01,1.916776E+03,2.886809E+03,1.290761E-01,6.207242E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.429926E+02,1.203504E-01,1.276430E+03,1.871090E+03,8.423342E-02,3.904721E+03,3.337719E-02,0.000000E+00,0.000000E+00
01:10:00,7.422205E-02,2.102286E+03,2.482871E-01,2.617242E+03,3.799974E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.593669E+03,1.816851E-01,1.911065E+03,2.880774E+03,1.378349E-01,6.461528E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.453851E+02,1.094061E-01,1.151846E+03,1.734615E+03,8.506333E-02,3.928815E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.593669E+03,1.805976E-01,1.898923E+03,2.867479E+03,1.290763E-01,6.207249E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.453851E+02,1.191490E-01,1.260623E+03,1.854027E+03,8.423358E-02,3.904725E+03,3.337719E-02,0.000000E+00,0.000000E+00
01:20:00,7.422205E-02,2.107607E+03,2.477240E-01,2.605635E+03,3.787870E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.597702E+03,1.804128E-01,1.892828E+03,2.860997E+03,1.378351E-01,6.461535E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.477776E+02,1.086065E-01,1.140525E+03,1.722312E+03,8.506348E-02,3.928819E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.597702E+03,1.794038E-01,1.881562E+03,2.848679E+03,1.290766E-01,6.207255E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.477776E+02,1.179954E-01,1.245351E+03,1.837530E+03,8.423372E-02,3.904729E+03,3.337719E-02,0.000000E+00,0.000000E+00
01:30:00,7.422205E-02,2.112927E+03,2.471754E-01,2.594190E+03,3.775933E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.601735E+03,1.791843E-01,1.875079E+03,2.841737E+03,1.378353E-01,6.461541E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.501700E+02,1.078341E-01,1.129509E+03,1.710331E+03,8.506362E-02,3.928823E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.601735E+03,1.782530E-01,1.864681E+03,2.830389E+03,1.290768E-01,6.207262E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.501700E+02,1.168877E-01,1.230591E+03,1.821568E+03,8.423386E-02,3.904733E+03,3.337719E-02,0.000000E+00,0.000000E+00
01:40:00,7.422205E-02,2.118247E+03,2.466408E-01,2.582901E+03,3.764158E+03,7.422205E-02,5.399785E+03,7.422205E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.605768E+03,1.779989E-01,1.857811E+03,2.822993E+03,1.378355E-01,6.461547E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.525625E+02,1.070885E-01,1.118793E+03,1.698670E+03,8.506375E-02,3.928827E+03,3.337719E-02,0.000000E+00,0.000000E+00,5.626512E-02,1.605768E+03,1.771444E-01,1.848270E+03,2.812602E+03,1.290770E-01,6.207268E+03,5.626512E-02,0.000000E+00,0.000000E+00,3.337719E-02,9.525625E+02,1.158239E-01,1.216321E+03,1.806125E+03,8.423400E-02,3.904737E+03,3.337719E-02,0.000000E+00,0.000000E+00
