Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 02/16  09:00:00,10117800.149468635,11971104.174351562,38809651.39625438,38809651.39625439,0.0 
 02/16  10:00:00,9917097.381394336,11971104.174351562,40679309.144916389,40679309.144916389,0.0 
 02/16  11:00:00,9883987.1785891,11971104.174351562,41027613.82953973,41027613.82953972,0.0 
 02/16  12:00:00,9800067.09312622,11971104.174351562,41393305.72961576,41393305.72961576,0.0 
 02/16  13:00:00,9020580.912577969,11252837.923890466,39247092.292826447,39247092.292826447,0.0 
 02/16  14:00:00,10231883.473229876,11971104.174351562,42546308.90554017,42546308.90554017,0.0 
 02/16  15:00:00,10033546.44945682,11971104.174351562,42912576.95230613,42912576.95230612,0.0 
 02/16  16:00:00,10437241.056125896,11971104.174351562,42427615.3568469,42427615.3568469,0.0 
 02/16  17:00:00,10963172.148285363,11971104.174351562,41652626.39680032,41652626.39680032,0.0 
 02/16  18:00:00,7695291.207166387,5985552.087175781,28464922.733045326,28464922.733045315,0.0 
 02/16  19:00:00,5298397.224606365,2394220.834870312,17724434.235940227,17724434.23594022,0.0 
 02/16  20:00:00,5298397.224606365,2394220.834870312,13031418.059538957,13031418.059538952,0.0 
 02/16  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/16  22:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/16  23:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 02/16  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/17  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/17  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/17  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/17  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/17  05:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/17  06:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 02/17  07:00:00,2901503.2420463429,5985552.087175781,25746889.911865374,25746889.911865366,0.0 
 02/17  08:00:00,5298397.224606365,5985552.087175781,24564231.289411818,24564231.28941181,0.0 
 02/17  09:00:00,10983095.201191636,11971104.174351562,40884402.57798521,40884402.57798523,0.0 
 02/17  10:00:00,10343412.10460409,11971104.174351562,40648628.77669971,40648628.7766997,0.0 
 02/17  11:00:00,9981853.865065473,11971104.174351562,40977574.91687979,40977574.91687978,0.0 
 02/17  12:00:00,9820274.80214815,11971104.174351562,41502974.59830672,41502974.59830672,0.0 
 02/17  13:00:00,8465140.362131069,11252837.923890466,39957329.27857323,39957329.27857323,0.0 
 02/17  14:00:00,9884869.880322807,11971104.174351562,42950109.82912243,42950109.82912243,0.0 
 02/17  15:00:00,9432418.850213282,11971104.174351562,43440110.47634226,43440110.47634226,0.0 
 02/17  16:00:00,9646574.303674004,11971104.174351562,43689515.12858165,43689515.12858165,0.0 
 02/17  17:00:00,10002518.439255514,11971104.174351562,43664190.293897289,43664190.29389727,0.0 
 02/17  18:00:00,7362659.948962397,5985552.087175781,31083365.915482537,31083365.915482537,0.0 
 02/17  19:00:00,5298397.224606365,2394220.834870312,17724434.235940227,17724434.23594022,0.0 
 02/17  20:00:00,5298397.224606365,2394220.834870312,13031418.059538957,13031418.059538952,0.0 
 02/17  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/17  22:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/17  23:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 02/17  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/18  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/18  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/18  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/18  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/18  05:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/18  06:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 02/18  07:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/18  08:00:00,2909792.317314135,2043510.819381642,7008903.136695775,7008903.136695775,0.0 
 02/18  09:00:00,2739619.057961871,2043510.819381642,6838729.877343511,6838729.877343511,0.0 
