Date/Time,Environment:Site Day Type Index [](Hourly),CORE_ZN:People Occupant Count [](Hourly),PERIMETER_ZN_1:People Occupant Count [](Hourly),PERIMETER_ZN_2:People Occupant Count [](Hourly),PERIMETER_ZN_3:People Occupant Count [](Hourly),PERIMETER_ZN_4:People Occupant Count [](Hourly),CORE_ZN_LIGHTS:Lights Electric Power [W](Hourly),PERIMETER_ZN_1_LIGHTS:Lights Electric Power [W](Hourly),PERIMETER_ZN_2_LIGHTS:Lights Electric Power [W](Hourly),PERIMETER_ZN_3_LIGHTS:Lights Electric Power [W](Hourly),PERIMETER_ZN_4_LIGHTS:Lights Electric Power [W](Hourly),CORE_ZN_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_1_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_2_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_3_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_4_MISCPLUG_EQUIP:Electric Equipment Electric Power [W](Hourly),PERIMETER_ZN_1_DAYLCTRL:Daylighting Lighting Power Multiplier [](Hourly),PERIMETER_ZN_2_DAYLCTRL:Daylighting Lighting Power Multiplier [](Hourly),PERIMETER_ZN_3_DAYLCTRL:Daylighting Lighting Power Multiplier [](Hourly),PERIMETER_ZN_4_DAYLCTRL:Daylighting Lighting Power Multiplier [](Hourly),PERIMETER_ZN_1:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),PERIMETER_ZN_2:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),PERIMETER_ZN_3:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),PERIMETER_ZN_4:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),ATTIC:Zone Infiltration Current Density Volume Flow Rate [m3/s](Hourly),EXTERIOR_LIGHTS_A:Exterior Lights Electric Power [W](Hourly),EXTERIOR_LIGHTS_B:Exterior Lights Electric Power [W](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 05/07  19:00:00,1.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,166.19501161075616,125.98658046471663,74.73686086624442,125.98658046471657,74.73686086624442,1.0,1.0,1.0,1.0,0.009372630034492038,0.006259573071291123,0.009370035362888056,0.006259432734697375,0.20208912898246379,0.0,0.0,2923570.5965399087,2043510.819381642 
 05/07  20:00:00,1.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,166.19501161075616,125.98658046471663,74.73686086624442,125.98658046471657,74.73686086624442,1.0,1.0,1.0,1.0,0.010482278904374322,0.006999920423818209,0.010479519021897172,0.006998452183291996,0.2000200105333614,50.699999999999999,861.3000000000001,2923570.5965399087,2043510.819381642 
 05/07  21:00:00,1.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,166.19501161075616,125.98658046471663,74.73686086624442,125.98658046471657,74.73686086624442,1.0,1.0,1.0,1.0,0.012044731243125188,0.008041778863537885,0.01204129212370574,0.008039347589254611,0.19957891993266067,50.699999999999999,861.3000000000001,2923570.5965399087,2043510.819381642 
 05/07  22:00:00,1.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,166.19501161075616,125.98658046471663,74.73686086624442,125.98658046471657,74.73686086624442,1.0,1.0,1.0,1.0,0.010936831242784022,0.007300886316437892,0.010933627224022134,0.007298477882596161,0.20005012542592283,50.699999999999999,861.3000000000001,2923570.5965399087,2043510.819381642 
 05/07  23:00:00,1.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,166.19501161075616,125.98658046471663,74.73686086624442,125.98658046471657,74.73686086624442,1.0,1.0,1.0,1.0,0.008565921359671164,0.005717535781696901,0.008563612698699002,0.0057154132469261179,0.1998148066364176,50.699999999999999,861.3000000000001,2923570.5965399087,2043510.819381642 
 05/07  24:00:00,1.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,166.19501161075616,125.98658046471663,74.73686086624442,125.98658046471657,74.73686086624442,1.0,1.0,1.0,1.0,0.011059798026958008,0.0073811910042935889,0.01105704574284372,0.007378387949469653,0.19993200795454567,0.0,602.91,2923570.5965399087,2043510.819381642 
 05/08  01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,415.4875290268903,314.96645116179158,186.84215216561106,314.96645116179158,186.84215216561106,1.0,1.0,1.0,1.0,0.010946693523805639,0.007305116696519874,0.010944278838056139,0.007302379109605198,0.1992910230273768,0.0,602.91,2923570.5965399087,5108777.048454104 
 05/08  02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,415.4875290268903,314.96645116179158,186.84215216561106,314.96645116179158,186.84215216561106,1.0,1.0,1.0,1.0,0.008589420932980482,0.005731501021529587,0.008587661847624084,0.005729390140510794,0.19897196217381198,0.0,602.91,2923570.5965399087,5108777.048454104 
 05/08  03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,415.4875290268903,314.96645116179158,186.84215216561106,314.96645116179158,186.84215216561106,1.0,1.0,1.0,1.0,0.008057869185005425,0.005376227348354833,0.008056143175879887,0.00537429605628182,0.19917133639288168,0.0,602.91,2923570.5965399087,5108777.048454104 
 05/08  04:00:00,2.0,0.0,0.0,0.0,0.0,0.0,237.76866979536798,180.244047994182,106.92308884978802,180.24404799418199,106.92308884978802,415.4875290268903,314.96645116179158,186.84215216561106,314.96645116179158,186.84215216561106,1.0,1.0,1.0,1.0,0.007293249504161356,0.004865672408794537,0.007291736753703034,0.00486400937321639,0.19936983973258674,0.0,602.91,2923570.5965399087,5108777.048454104 
 05/08  05:00:00,2.0,0.0,0.0,0.0,0.0,0.0,303.8155225163036,230.31183910367705,136.62394686361805,230.311839103677,136.62394686361805,415.4875290268903,314.96645116179158,186.84215216561106,314.96645116179158,186.84215216561106,1.0,1.0,1.0,1.0,0.0067588604723328219,0.004508845555978859,0.006757526591454669,0.00450740143919248,0.19973041627856603,0.0,602.91,3735673.540023218,5108777.048454104 
 05/08  06:00:00,2.0,0.992418503526678,0.7523174879765494,0.4462844155206854,0.7523174879765491,0.4462844155206854,235.97397206169675,178.88355089958464,106.11602446489245,178.8835508995846,106.11602446489245,486.7940454193326,369.0214079144985,218.90824815024909,369.02140791449849,218.90824815024909,1.0,1.0,1.0,1.0,0.025318665188145716,0.004475752916321117,0.006714691930114404,0.0044759231838690789,0.1992135297421557,33.800000000000007,574.1999999999999,2901503.2420463429,5985552.087175781 
 05/08  07:00:00,2.0,1.8946171430963855,1.4362424770461396,0.8519975205394904,1.4362424770461393,0.8519975205394904,430.90899246048977,326.65691903402418,188.28673732227217,322.303308207565,193.77708815328183,486.7940454193326,369.0214079144985,218.90824815024909,369.02140791449849,218.90824815024909,1.0,0.9716666666666667,0.9866722222222223,1.0,0.13161253622280887,0.0016186466100088209,0.0024286601196875656,0.0016189131624944379,0.19945121308746398,0.0,0.0,5262958.962639478,5985552.087175781 
 05/08  08:00:00,2.0,9.021986395697072,6.8392498906959029,4.057131050188048,6.839249890695901,4.057131050188048,923.376412415335,629.9773122213436,329.39798115960857,620.6481461646457,404.1682547456105,973.5880908386652,738.042815828997,437.81649630049818,738.0428158289969,437.81649630049818,0.8999944444444443,0.7932777777777776,0.8866666666666666,0.9733444444444445,0.021494939941940278,0.0020774610033890146,0.0031170083721112609,0.0020780038040627754,0.19875076629169922,0.0,0.0,10467245.184143557,11971104.174351562 
 05/08  09:00:00,2.0,9.021986395697072,6.8392498906959029,4.057131050188048,6.839249890695901,4.057131050188048,923.376412415335,569.3046782836192,303.0812070923152,580.9826631390856,378.5481554476303,973.5880908386652,738.042815828997,437.81649630049818,738.0428158289969,437.81649630049818,0.8133166666666667,0.7298999999999999,0.83,0.9116444444444444,0.02147571807184953,0.0021511800428861669,0.003228490440623371,0.002152561997530109,0.20187092308266589,0.0,0.0,9919055.218960748,11971104.174351562 
 05/08  10:00:00,2.0,9.021986395697072,6.8392498906959029,4.057131050188048,6.839249890695901,4.057131050188048,923.376412415335,517.9612104025929,303.0812070923152,580.9826631390856,377.8514806783173,973.5880908386652,738.042815828997,437.81649630049818,738.0428158289969,437.81649630049818,0.7399666666666667,0.7298999999999999,0.83,0.9099666666666666,0.021449137503245998,0.0021485062352787976,0.0032247612230617854,0.002150302408838284,0.20588633288483314,0.0,0.0,9731710.705419524,11971104.174351562 
 05/08  11:00:00,2.0,9.021986395697072,6.8392498906959029,4.057131050188048,6.839249890695901,4.057131050188048,923.376412415335,578.6338443403172,311.40208753242106,618.2993273658772,377.8514806783173,973.5880908386652,738.042815828997,437.81649630049818,738.0428158289969,437.81649630049818,0.8266444444444444,0.7499388888888889,0.883311111111111,0.9099666666666666,0.02157004286598574,0.0022858095659125038,0.0034301936848334004,0.0022873987327296375,0.2090014552246251,0.0,0.0,10114427.348396164,11971104.174351562 
 05/08  12:00:00,2.0,4.781652789719449,3.624802442068828,2.1502794565996665,3.624802442068827,2.1502794565996665,820.7790332580754,511.20943657081286,303.87528304350408,541.3068100526036,316.19089353502377,915.1728053883452,693.7602468792574,411.5475065224682,693.7602468792571,411.5475065224682,0.821611111111111,0.8232888888888889,0.8699833333333333,0.8566555555555556,0.12864686829603826,0.0019945405837087099,0.0029924465816215317,0.0019955733767817159,0.21281158032182005,0.0,0.0,8976101.243256072,11252837.923890466 
 05/08  13:00:00,2.0,9.021986395697072,6.8392498906959029,4.057131050188048,6.839249890695901,4.057131050188048,923.376412415335,576.2850255415488,350.18057386404805,636.9576594792729,344.64639250119418,973.5880908386652,738.042815828997,437.81649630049818,738.0428158289969,437.81649630049818,0.8232888888888889,0.8433277777777777,0.9099666666666666,0.83,0.020634625311392035,0.001713166645653269,0.0025696093462567778,0.0017137579305441364,0.21529070227334982,0.0,0.0,10193205.829685037,11971104.174351562 
